School Name,Class,Roll No,Student Name,Hindi,English,Maths,Science,Social,Computer,Total Marks,CGPA,Pass/Fail
St Johns School,2,30,Aryan Chopra,34,84,30,98,84,73,403,6.72,Pass
St Johns School,2,8,Varun Bajaj,64,7,62,85,99,89,406,6.77,Pass
St Johns School,2,12,Priya Gupta,70,93,59,72,52,69,415,6.92,Pass
St Johns School,2,15,Nikhil Malhotra,85,92,58,99,70,83,487,8.12,Pass
St Johns School,3,7,Rohan Chopra,10,2,83,74,5,17,191,3.18,Fail
St Johns School,3,10,Nikhil Gupta,25,45,46,32,11,40,199,3.32,Fail
St Johns School,3,30,Priya Mehta,24,37,17,44,64,25,211,3.52,Fail
St Johns School,3,6,Rohan Malhotra,0,82,16,37,8,72,215,3.58,Pass
St Johns School,3,1,Kiran Bajaj,62,23,26,37,73,7,228,3.8,Pass
St Johns School,3,20,Nikhil Gupta,89,63,53,20,9,3,237,3.95,Pass
St Johns School,3,19,Aryan Chopra,2,46,57,31,69,34,239,3.98,Pass
St Johns School,3,11,Ananya Kapoor,24,51,33,71,39,23,241,4.02,Pass
St Johns School,3,25,Rahul Verma,54,15,31,72,15,56,243,4.05,Pass
St Johns School,3,23,Aditya Chopra,81,27,45,51,33,13,250,4.17,Pass
St Johns School,3,15,Tanya Yadav,76,40,13,13,77,35,254,4.23,Pass
St Johns School,3,14,Priya Singh,42,13,29,97,17,62,260,4.33,Pass
St Johns School,3,2,Sanjay Mehta,38,2,59,46,48,92,285,4.75,Pass
St Johns School,3,26,Priya Sharma,82,60,26,72,35,11,286,4.77,Pass
St Johns School,3,12,Vivaan Bajaj,4,56,87,99,11,39,296,4.93,Pass
St Johns School,3,5,Sanya Bajaj,29,31,48,28,90,73,299,4.98,Pass
St Johns School,3,29,Tanya Mehta,33,62,84,56,11,56,302,5.03,Pass
St Johns School,3,17,Rohan Gupta,91,44,26,81,44,20,306,5.1,Pass
St Johns School,3,8,Ishita Malhotra,46,62,58,64,31,50,311,5.18,Pass
St Johns School,3,9,Rohan Kapoor,0,58,8,99,70,81,316,5.27,Pass
St Johns School,3,18,Pooja Kapoor,47,53,40,5,83,93,321,5.35,Pass
St Johns School,3,27,Ananya Malhotra,23,9,86,56,59,92,325,5.42,Pass
St Johns School,3,13,Ishita Gupta,99,83,78,4,63,22,349,5.82,Pass
St Johns School,3,4,Rahul Kapoor,87,59,81,24,18,85,354,5.9,Pass
St Johns School,3,28,Sanya Kapoor,68,63,69,64,95,6,365,6.08,Pass
St Johns School,3,16,Kabir Bajaj,20,7,88,80,89,84,368,6.13,Pass
St Johns School,3,3,Pooja Malhotra,76,66,22,92,25,88,369,6.15,Pass
St Johns School,3,22,Nikhil Sharma,48,95,76,38,31,84,372,6.2,Pass
St Johns School,3,21,Sanjay Mehta,77,77,23,72,77,76,402,6.7,Pass
St Johns School,3,24,Varun Gupta,61,43,97,50,89,90,430,7.17,Pass
St Johns School,4,21,Neha Bajaj,1,38,24,54,10,21,148,2.47,Fail
St Johns School,4,27,Sanya Bajaj,30,4,3,100,3,31,171,2.85,Fail
St Johns School,4,30,Neha Singh,0,54,15,32,20,53,174,2.9,Fail
St Johns School,4,29,Nikhil Yadav,17,50,77,15,19,16,194,3.23,Fail
St Johns School,4,19,Aryan Malhotra,2,16,16,12,63,90,199,3.32,Pass
St Johns School,4,15,Pooja Sharma,36,16,87,3,45,20,207,3.45,Pass
St Johns School,4,24,Rohan Chopra,4,10,60,87,16,47,224,3.73,Pass
St Johns School,4,20,Aditya Singh,70,4,12,95,1,65,247,4.12,Pass
St Johns School,4,17,Varun Bajaj,73,50,29,99,0,7,258,4.3,Pass
St Johns School,4,14,Kabir Verma,19,1,89,66,26,59,260,4.33,Pass
St Johns School,4,11,Priya Chopra,57,7,65,61,68,4,262,4.37,Pass
St Johns School,4,3,Sanya Malhotra,81,44,18,6,59,72,280,4.67,Pass
St Johns School,4,2,Kabir Sharma,77,83,8,67,20,28,283,4.72,Pass
St Johns School,4,25,Kiran Verma,100,42,47,8,20,69,286,4.77,Pass
St Johns School,4,4,Priya Bajaj,34,57,47,40,28,84,290,4.83,Pass
St Johns School,4,28,Ishita Kapoor,79,99,36,26,33,19,292,4.87,Pass
St Johns School,4,1,Kiran Gupta,20,74,61,30,51,66,302,5.03,Pass
St Johns School,4,5,Kabir Sharma,30,53,11,99,49,60,302,5.03,Pass
St Johns School,4,10,Rahul Yadav,29,9,93,44,48,82,305,5.08,Pass
St Johns School,4,13,Nikhil Kapoor,25,59,13,68,72,76,313,5.22,Pass
St Johns School,4,8,Sanya Kapoor,83,45,57,49,36,53,323,5.38,Pass
St Johns School,4,18,Varun Mehta,97,46,18,65,60,54,340,5.67,Pass
St Johns School,4,7,Tanya Yadav,43,56,13,44,86,100,342,5.7,Pass
St Johns School,4,22,Vivaan Yadav,4,96,86,50,38,72,346,5.77,Pass
St Johns School,4,16,Vivaan Mehta,51,52,76,71,82,21,353,5.88,Pass
St Johns School,4,23,Pooja Verma,20,84,42,70,40,99,355,5.92,Pass
St Johns School,4,26,Kiran Bajaj,93,46,22,77,98,20,356,5.93,Pass
St Johns School,4,6,Ananya Yadav,63,90,37,59,77,41,367,6.12,Pass
St Johns School,4,12,Sanya Kapoor,85,57,33,48,77,67,367,6.12,Pass
St Johns School,4,9,Simran Kapoor,63,11,78,83,92,87,414,6.9,Pass
St Johns School,5,13,Sanya Gupta,73,35,9,41,16,30,204,3.4,Fail
St Johns School,5,12,Aditya Yadav,15,80,8,98,7,4,212,3.53,Fail
St Johns School,5,5,Aditya Yadav,50,73,38,29,7,27,224,3.73,Fail
St Johns School,5,23,Aryan Mehta,94,35,15,53,2,31,230,3.83,Fail
St Johns School,5,9,Rahul Malhotra,7,51,41,12,34,86,231,3.85,Pass
St Johns School,5,7,Sanya Yadav,65,19,2,79,35,34,234,3.9,Pass
St Johns School,5,30,Aryan Verma,0,18,67,93,33,23,234,3.9,Pass
St Johns School,5,8,Rahul Mehta,71,19,10,16,75,49,240,4,Pass
St Johns School,5,24,Kiran Gupta,11,41,60,65,34,42,253,4.22,Pass
St Johns School,5,6,Nikhil Mehta,23,46,47,76,3,69,264,4.4,Pass
St Johns School,5,14,Varun Singh,2,49,47,38,52,77,265,4.42,Pass
St Johns School,5,2,Simran Verma,22,70,60,31,37,46,266,4.43,Pass
St Johns School,5,1,Sanjay Bajaj,50,45,72,22,5,87,281,4.68,Pass
St Johns School,5,28,Ananya Malhotra,78,79,19,65,24,24,289,4.82,Pass
St Johns School,5,15,Aryan Yadav,31,81,61,38,56,23,290,4.83,Pass
St Johns School,5,11,Neha Gupta,34,58,71,13,17,98,291,4.85,Pass
St Johns School,5,16,Divya Gupta,9,35,54,82,52,62,294,4.9,Pass
St Johns School,5,26,Sanjay Singh,57,26,49,51,34,85,302,5.03,Pass
St Johns School,5,18,Rahul Verma,84,57,4,94,0,93,332,5.53,Pass
St Johns School,5,25,Priya Bajaj,83,57,34,41,78,42,335,5.58,Pass
St Johns School,5,10,Aryan Sharma,83,26,73,85,46,26,339,5.65,Pass
St Johns School,5,20,Sanjay Verma,80,66,46,22,76,64,354,5.9,Pass
St Johns School,5,29,Tanya Kapoor,30,72,91,48,92,28,361,6.02,Pass
St Johns School,5,17,Aryan Chopra,52,18,84,69,92,61,376,6.27,Pass
St Johns School,5,21,Pooja Gupta,99,98,61,8,79,32,377,6.28,Pass
St Johns School,5,22,Sanjay Yadav,21,15,79,90,78,94,377,6.28,Pass
St Johns School,5,27,Divya Singh,94,73,34,91,69,35,396,6.6,Pass
St Johns School,5,4,Pooja Bajaj,86,57,90,17,76,74,400,6.67,Pass
St Johns School,5,3,Neha Kapoor,26,88,61,88,100,46,409,6.82,Pass
St Johns School,5,19,Aditya Yadav,74,87,99,92,87,10,449,7.48,Pass
St Johns School,6,13,Sanya Bajaj,0,46,52,1,12,1,112,1.87,Fail
St Johns School,6,27,Ishita Gupta,9,3,32,45,20,3,112,1.87,Fail
St Johns School,6,9,Vivaan Mehta,1,17,44,21,82,32,197,3.28,Fail
St Johns School,6,18,Neha Kapoor,11,35,19,96,19,25,205,3.42,Pass
St Johns School,6,26,Simran Malhotra,6,80,2,30,84,7,209,3.48,Pass
St Johns School,6,5,Sanya Malhotra,34,81,46,55,8,12,236,3.93,Pass
St Johns School,6,10,Rahul Gupta,67,11,17,27,58,57,237,3.95,Pass
St Johns School,6,14,Kiran Yadav,50,36,18,37,33,69,243,4.05,Pass
St Johns School,6,19,Vivaan Mehta,55,42,62,2,89,5,255,4.25,Pass
St Johns School,6,17,Sanya Malhotra,9,47,40,21,85,60,262,4.37,Pass
St Johns School,6,6,Nikhil Gupta,52,77,4,78,55,20,286,4.77,Pass
St Johns School,6,2,Divya Kapoor,37,57,20,74,38,67,293,4.88,Pass
St Johns School,6,3,Sanjay Singh,95,3,46,72,2,75,293,4.88,Pass
St Johns School,6,11,Simran Mehta,82,30,66,54,58,4,294,4.9,Pass
St Johns School,6,7,Sanya Yadav,70,13,96,51,61,15,306,5.1,Pass
St Johns School,6,29,Ishita Singh,99,19,75,31,19,63,306,5.1,Pass
St Johns School,6,8,Kiran Verma,30,61,27,4,89,100,311,5.18,Pass
St Johns School,6,12,Rohan Malhotra,93,83,2,57,19,71,325,5.42,Pass
St Johns School,6,20,Neha Kapoor,81,62,18,82,12,89,344,5.73,Pass
St Johns School,6,16,Divya Bajaj,84,13,8,76,98,67,346,5.77,Pass
St Johns School,6,23,Aryan Gupta,20,66,83,86,78,16,349,5.82,Pass
St Johns School,6,21,Sanjay Mehta,59,66,46,79,51,58,359,5.98,Pass
St Johns School,6,22,Vivaan Verma,41,90,68,70,38,52,359,5.98,Pass
St Johns School,6,24,Ishita Singh,6,64,51,49,91,98,359,5.98,Pass
St Johns School,6,1,Vivaan Malhotra,53,85,47,43,92,43,363,6.05,Pass
St Johns School,6,25,Neha Verma,42,50,79,32,83,88,374,6.23,Pass
St Johns School,6,28,Sanya Malhotra,80,73,12,31,91,97,384,6.4,Pass
St Johns School,6,15,Priya Bajaj,54,80,53,96,76,46,405,6.75,Pass
St Johns School,6,30,Simran Malhotra,80,83,78,94,55,20,410,6.83,Pass
St Johns School,6,4,Neha Chopra,67,82,68,70,73,88,448,7.47,Pass
St Johns School,7,18,Neha Bajaj,29,24,17,4,42,31,147,2.45,Fail
St Johns School,7,21,Aarav Verma,1,6,99,36,3,17,162,2.7,Fail
St Johns School,7,14,Tanya Singh,16,16,28,48,13,45,166,2.77,Fail
St Johns School,7,25,Vivaan Yadav,0,94,32,21,9,19,175,2.92,Pass
St Johns School,7,2,Aryan Gupta,71,32,42,17,25,10,197,3.28,Pass
St Johns School,7,4,Ananya Singh,85,1,40,24,55,1,206,3.43,Pass
St Johns School,7,16,Kabir Gupta,9,70,17,23,71,31,221,3.68,Pass
St Johns School,7,23,Sanya Malhotra,60,11,5,30,32,92,230,3.83,Pass
St Johns School,7,29,Ananya Bajaj,4,45,28,47,26,87,237,3.95,Pass
St Johns School,7,3,Sanjay Gupta,73,21,54,67,24,11,250,4.17,Pass
St Johns School,7,26,Priya Sharma,39,55,50,2,35,72,253,4.22,Pass
St Johns School,7,13,Tanya Kapoor,25,83,37,29,26,56,256,4.27,Pass
St Johns School,7,7,Tanya Sharma,4,100,58,24,60,13,259,4.32,Pass
St Johns School,7,20,Varun Yadav,63,14,60,22,39,67,265,4.42,Pass
St Johns School,7,24,Neha Kapoor,50,84,41,48,21,23,267,4.45,Pass
St Johns School,7,6,Sanjay Singh,91,38,29,47,21,44,270,4.5,Pass
St Johns School,7,5,Aarav Malhotra,31,18,46,42,66,81,284,4.73,Pass
St Johns School,7,9,Kabir Gupta,73,29,98,37,25,36,298,4.97,Pass
St Johns School,7,22,Priya Chopra,89,28,13,65,13,93,301,5.02,Pass
St Johns School,7,17,Vivaan Verma,30,66,75,21,26,97,315,5.25,Pass
St Johns School,7,10,Kiran Singh,82,95,14,88,43,4,326,5.43,Pass
St Johns School,7,30,Simran Verma,78,23,78,59,28,74,340,5.67,Pass
St Johns School,7,8,Nikhil Verma,94,27,93,52,66,18,350,5.83,Pass
St Johns School,7,1,Pooja Singh,77,83,86,66,18,41,371,6.18,Pass
St Johns School,7,15,Pooja Yadav,98,88,83,14,34,55,372,6.2,Pass
St Johns School,7,28,Varun Sharma,99,45,39,50,60,79,372,6.2,Pass
St Johns School,7,11,Rahul Chopra,87,54,49,36,97,55,378,6.3,Pass
St Johns School,7,27,Kiran Verma,19,64,56,83,88,74,384,6.4,Pass
St Johns School,7,19,Ishita Malhotra,95,100,50,32,92,81,450,7.5,Pass
St Johns School,7,12,Ananya Gupta,94,39,97,65,78,81,454,7.57,Pass
St Johns School,8,30,Simran Malhotra,22,17,42,24,6,84,195,3.25,Fail
St Johns School,8,13,Rahul Yadav,32,10,70,17,44,25,198,3.3,Fail
St Johns School,8,6,Ishita Verma,44,49,8,54,36,13,204,3.4,Fail
St Johns School,8,27,Aditya Bajaj,21,58,65,16,28,23,211,3.52,Fail
St Johns School,8,4,Neha Bajaj,26,63,51,55,15,6,216,3.6,Pass
St Johns School,8,7,Sanjay Bajaj,27,98,68,9,14,7,223,3.72,Pass
St Johns School,8,23,Sanya Sharma,69,46,20,29,39,21,224,3.73,Pass
St Johns School,8,21,Aditya Singh,55,34,42,21,73,25,250,4.17,Pass
St Johns School,8,28,Sanya Verma,10,0,27,97,53,77,264,4.4,Pass
St Johns School,8,20,Sanya Bajaj,15,34,22,59,61,80,271,4.52,Pass
St Johns School,8,22,Rahul Sharma,0,68,15,3,98,100,284,4.73,Pass
St Johns School,8,26,Rohan Sharma,84,62,7,51,73,15,292,4.87,Pass
St Johns School,8,9,Aarav Malhotra,96,7,69,55,38,30,295,4.92,Pass
St Johns School,8,16,Rahul Bajaj,9,74,16,27,75,98,299,4.98,Pass
St Johns School,8,15,Varun Malhotra,21,81,47,21,75,63,308,5.13,Pass
St Johns School,8,1,Pooja Kapoor,64,16,77,73,3,86,319,5.32,Pass
St Johns School,8,17,Pooja Singh,30,92,95,84,4,16,321,5.35,Pass
St Johns School,8,14,Aarav Bajaj,51,8,36,28,99,100,322,5.37,Pass
St Johns School,8,3,Aryan Sharma,99,48,83,18,62,18,328,5.47,Pass
St Johns School,8,10,Rahul Mehta,68,47,41,66,73,33,328,5.47,Pass
St Johns School,8,5,Sanya Malhotra,47,95,86,34,54,21,337,5.62,Pass
St Johns School,8,18,Rahul Singh,80,49,24,48,46,97,344,5.73,Pass
St Johns School,8,19,Vivaan Singh,13,63,70,98,92,8,344,5.73,Pass
St Johns School,8,29,Sanya Gupta,96,81,75,49,11,49,361,6.02,Pass
St Johns School,8,25,Rohan Mehta,79,71,100,39,34,41,364,6.07,Pass
St Johns School,8,2,Ananya Bajaj,92,86,53,48,26,68,373,6.22,Pass
St Johns School,8,12,Varun Malhotra,96,23,88,36,67,75,385,6.42,Pass
St Johns School,8,11,Pooja Sharma,99,17,99,82,22,84,403,6.72,Pass
St Johns School,8,24,Varun Mehta,40,96,28,86,96,68,414,6.9,Pass
St Johns School,8,8,Simran Mehta,67,30,99,95,92,40,423,7.05,Pass
St Johns School,9,17,Ishita Malhotra,82,5,9,0,4,30,130,2.17,Fail
St Johns School,9,10,Aarav Singh,12,19,47,11,9,40,138,2.3,Fail
St Johns School,9,18,Divya Mehta,27,22,29,29,20,26,153,2.55,Fail
St Johns School,9,28,Aditya Singh,89,12,11,45,25,12,194,3.23,Fail
St Johns School,9,2,Rohan Verma,8,21,40,29,54,44,196,3.27,Pass
St Johns School,9,22,Sanya Chopra,71,18,11,72,33,5,210,3.5,Pass
St Johns School,9,30,Pooja Chopra,30,50,47,43,9,34,213,3.55,Pass
St Johns School,9,8,Neha Singh,19,21,100,16,41,24,221,3.68,Pass
St Johns School,9,12,Kabir Chopra,20,60,44,69,35,7,235,3.92,Pass
St Johns School,9,3,Pooja Malhotra,70,40,71,21,12,31,245,4.08,Pass
St Johns School,9,7,Nikhil Verma,26,71,28,58,31,33,247,4.12,Pass
St Johns School,9,26,Varun Mehta,20,51,64,10,15,95,255,4.25,Pass
St Johns School,9,5,Varun Kapoor,9,32,73,28,58,56,256,4.27,Pass
St Johns School,9,25,Rahul Gupta,43,53,35,66,41,22,260,4.33,Pass
St Johns School,9,19,Pooja Gupta,83,22,39,28,45,44,261,4.35,Pass
St Johns School,9,21,Vivaan Yadav,9,38,39,73,22,83,264,4.4,Pass
St Johns School,9,1,Pooja Mehta,62,58,36,43,61,8,268,4.47,Pass
St Johns School,9,27,Sanya Sharma,34,4,33,92,98,11,272,4.53,Pass
St Johns School,9,15,Aarav Malhotra,90,6,25,71,81,9,282,4.7,Pass
St Johns School,9,24,Aarav Malhotra,44,68,14,17,100,53,296,4.93,Pass
St Johns School,9,4,Ishita Mehta,72,32,57,71,10,60,302,5.03,Pass
St Johns School,9,14,Divya Mehta,12,88,63,9,77,58,307,5.12,Pass
St Johns School,9,29,Pooja Kapoor,77,57,36,58,0,93,321,5.35,Pass
St Johns School,9,6,Aditya Chopra,88,60,47,42,100,0,337,5.62,Pass
St Johns School,9,11,Divya Mehta,27,82,22,93,44,83,351,5.85,Pass
St Johns School,9,13,Pooja Gupta,27,83,34,89,78,45,356,5.93,Pass
St Johns School,9,9,Rahul Chopra,42,80,93,77,24,67,383,6.38,Pass
St Johns School,9,16,Ishita Sharma,56,88,38,52,73,90,397,6.62,Pass
St Johns School,9,20,Simran Mehta,78,65,78,73,67,58,419,6.98,Pass
St Johns School,9,23,Kabir Gupta,43,78,83,36,91,95,426,7.1,Pass
St Johns School,10,7,Varun Mehta,72,46,5,9,13,2,147,2.45,Fail
St Johns School,10,25,Varun Chopra,21,10,42,24,28,44,169,2.82,Fail
St Johns School,10,21,Simran Singh,33,27,20,30,55,13,178,2.97,Fail
St Johns School,10,24,Simran Gupta,24,15,10,29,47,65,190,3.17,Pass
St Johns School,10,27,Tanya Kapoor,16,3,22,92,11,61,205,3.42,Pass
St Johns School,10,26,Divya Chopra,19,1,56,8,62,77,223,3.72,Pass
St Johns School,10,12,Nikhil Mehta,67,57,0,65,20,15,224,3.73,Pass
St Johns School,10,4,Rohan Bajaj,0,9,18,38,72,100,237,3.95,Pass
St Johns School,10,29,Pooja Gupta,5,49,6,21,89,82,252,4.2,Pass
St Johns School,10,18,Kabir Bajaj,39,9,86,12,65,49,260,4.33,Pass
St Johns School,10,3,Divya Kapoor,80,32,41,56,36,25,270,4.5,Pass
St Johns School,10,20,Rahul Singh,36,40,60,33,22,83,274,4.57,Pass
St Johns School,10,16,Kabir Gupta,87,3,28,77,8,72,275,4.58,Pass
St Johns School,10,13,Divya Verma,12,15,69,35,76,69,276,4.6,Pass
St Johns School,10,15,Divya Chopra,36,52,29,22,91,67,297,4.95,Pass
St Johns School,10,8,Pooja Sharma,15,84,98,26,57,18,298,4.97,Pass
St Johns School,10,6,Ananya Sharma,47,15,71,49,40,78,300,5,Pass
St Johns School,10,14,Priya Verma,52,11,56,49,90,44,302,5.03,Pass
St Johns School,10,30,Sanjay Sharma,94,28,70,41,10,62,305,5.08,Pass
St Johns School,10,28,Aarav Chopra,86,58,44,7,23,91,309,5.15,Pass
St Johns School,10,10,Kabir Singh,50,44,73,0,67,93,327,5.45,Pass
St Johns School,10,23,Kiran Singh,9,81,22,83,86,48,329,5.48,Pass
St Johns School,10,1,Aarav Singh,75,39,75,59,25,66,339,5.65,Pass
St Johns School,10,5,Kiran Singh,70,23,60,60,87,42,342,5.7,Pass
St Johns School,10,9,Ananya Singh,82,65,64,9,88,34,342,5.7,Pass
St Johns School,10,11,Vivaan Mehta,88,25,78,11,72,93,367,6.12,Pass
St Johns School,10,17,Ishita Sharma,42,44,69,39,97,95,386,6.43,Pass
St Johns School,10,22,Tanya Singh,100,70,22,96,19,85,392,6.53,Pass
St Johns School,10,19,Neha Bajaj,98,54,99,94,4,46,395,6.58,Pass
St Johns School,10,2,Divya Bajaj,83,69,78,99,58,69,456,7.6,Pass
St Xavier School,1,29,Tanya Bajaj,5,17,42,52,32,36,184,3.07,Fail
St Xavier School,1,18,Divya Mehta,56,8,62,7,23,40,196,3.27,Fail
St Xavier School,1,30,Vivaan Mehta,22,6,4,21,81,81,215,3.58,Fail
St Xavier School,1,8,Sanya Mehta,75,59,2,17,50,13,216,3.6,Fail
St Xavier School,1,25,Sanjay Kapoor,31,3,28,50,11,99,222,3.7,Pass
St Xavier School,1,13,Neha Gupta,54,32,6,46,36,50,224,3.73,Pass
St Xavier School,1,10,Sanya Malhotra,2,72,31,63,0,60,228,3.8,Pass
St Xavier School,1,26,Sanya Chopra,55,18,12,52,48,48,233,3.88,Pass
St Xavier School,1,15,Sanya Singh,85,11,49,9,44,59,257,4.28,Pass
St Xavier School,1,7,Sanya Kapoor,68,100,27,17,10,37,259,4.32,Pass
St Xavier School,1,3,Rahul Gupta,73,53,68,17,4,48,263,4.38,Pass
St Xavier School,1,9,Rahul Bajaj,60,66,32,1,71,48,278,4.63,Pass
St Xavier School,1,11,Sanya Singh,43,90,59,6,9,75,282,4.7,Pass
St Xavier School,1,17,Kabir Sharma,12,79,56,30,77,28,282,4.7,Pass
St Xavier School,1,16,Kiran Sharma,23,70,52,56,26,60,287,4.78,Pass
St Xavier School,1,20,Neha Sharma,10,24,74,83,46,52,289,4.82,Pass
St Xavier School,1,22,Aarav Chopra,36,66,57,55,2,85,301,5.02,Pass
St Xavier School,1,19,Pooja Verma,84,35,67,58,5,55,304,5.07,Pass
St Xavier School,1,28,Aarav Yadav,83,34,98,1,77,18,311,5.18,Pass
St Xavier School,1,4,Divya Kapoor,47,82,15,27,62,81,314,5.23,Pass
St Xavier School,1,1,Kiran Chopra,29,47,86,78,23,52,315,5.25,Pass
St Xavier School,1,23,Sanya Malhotra,91,47,35,72,75,4,324,5.4,Pass
St Xavier School,1,24,Aditya Singh,28,84,27,14,95,81,329,5.48,Pass
St Xavier School,1,5,Varun Mehta,37,47,6,94,100,47,331,5.52,Pass
St Xavier School,1,2,Kabir Kapoor,76,77,35,89,49,16,342,5.7,Pass
St Xavier School,1,12,Varun Mehta,14,93,92,11,39,95,344,5.73,Pass
St Xavier School,1,21,Kiran Singh,87,97,97,39,71,13,404,6.73,Pass
St Xavier School,1,27,Kabir Mehta,77,84,80,39,47,97,424,7.07,Pass
St Xavier School,1,6,Sanya Yadav,67,89,18,79,96,86,435,7.25,Pass
St Xavier School,1,14,Rahul Malhotra,82,86,97,64,66,81,476,7.93,Pass
St Xavier School,2,25,Varun Singh,7,0,28,9,24,66,134,2.23,Fail
St Xavier School,2,6,Kabir Mehta,30,73,24,5,39,34,205,3.42,Fail
St Xavier School,2,20,Aryan Verma,42,9,3,88,12,74,228,3.8,Fail
St Xavier School,2,10,Ananya Yadav,6,45,99,14,52,23,239,3.98,Fail
St Xavier School,2,16,Aryan Kapoor,38,5,86,36,31,43,239,3.98,Pass
St Xavier School,2,23,Kabir Sharma,78,11,35,40,45,41,250,4.17,Pass
St Xavier School,2,11,Nikhil Yadav,60,26,47,18,21,79,251,4.18,Pass
St Xavier School,2,3,Priya Bajaj,60,50,31,24,62,31,258,4.3,Pass
St Xavier School,2,26,Ishita Chopra,49,7,80,50,70,18,274,4.57,Pass
St Xavier School,2,8,Vivaan Mehta,54,7,41,19,64,90,275,4.58,Pass
St Xavier School,2,13,Aarav Sharma,53,28,73,35,29,72,290,4.83,Pass
St Xavier School,2,22,Nikhil Malhotra,26,46,66,62,33,58,291,4.85,Pass
St Xavier School,2,19,Vivaan Sharma,52,60,100,4,56,20,292,4.87,Pass
St Xavier School,2,28,Vivaan Malhotra,53,54,61,52,71,14,305,5.08,Pass
St Xavier School,2,29,Neha Yadav,23,33,55,70,67,58,306,5.1,Pass
St Xavier School,2,9,Rahul Gupta,37,16,99,38,56,64,310,5.17,Pass
St Xavier School,2,18,Simran Malhotra,65,71,69,78,18,14,315,5.25,Pass
St Xavier School,2,2,Sanjay Mehta,40,31,40,68,37,100,316,5.27,Pass
St Xavier School,2,4,Neha Gupta,71,23,65,12,59,86,316,5.27,Pass
St Xavier School,2,14,Ananya Gupta,37,62,46,91,2,84,322,5.37,Pass
St Xavier School,2,17,Sanya Mehta,99,59,11,50,59,51,329,5.48,Pass
St Xavier School,2,7,Kabir Chopra,99,75,39,94,2,25,334,5.57,Pass
St Xavier School,2,15,Tanya Bajaj,55,13,72,95,86,13,334,5.57,Pass
St Xavier School,2,30,Kiran Singh,90,5,21,50,74,94,334,5.57,Pass
St Xavier School,2,12,Sanya Singh,41,85,59,49,89,19,342,5.7,Pass
St Xavier School,2,1,Rahul Malhotra,78,39,98,79,17,44,355,5.92,Pass
St Xavier School,2,24,Rohan Bajaj,85,18,68,98,60,27,356,5.93,Pass
St Xavier School,2,5,Nikhil Sharma,43,89,20,86,96,23,357,5.95,Pass
St Xavier School,2,21,Priya Mehta,90,50,35,80,18,86,359,5.98,Pass
St Xavier School,2,27,Kabir Mehta,69,84,33,74,93,20,373,6.22,Pass
St Xavier School,3,10,Ishita Sharma,22,28,23,18,18,34,143,2.38,Fail
St Xavier School,3,4,Aryan Kapoor,37,19,56,12,29,20,173,2.88,Fail
St Xavier School,3,13,Pooja Chopra,22,45,45,55,36,11,214,3.57,Fail
St Xavier School,3,15,Rahul Bajaj,22,76,17,72,8,21,216,3.6,Pass
St Xavier School,3,20,Aditya Chopra,9,5,21,68,57,64,224,3.73,Pass
St Xavier School,3,29,Aarav Bajaj,9,43,37,19,63,54,225,3.75,Pass
St Xavier School,3,24,Aryan Bajaj,20,12,87,23,16,74,232,3.87,Pass
St Xavier School,3,9,Pooja Gupta,33,30,28,66,69,9,235,3.92,Pass
St Xavier School,3,6,Kabir Kapoor,26,28,57,24,28,73,236,3.93,Pass
St Xavier School,3,25,Aditya Chopra,77,40,38,23,29,29,236,3.93,Pass
St Xavier School,3,8,Rahul Gupta,42,12,25,14,98,50,241,4.02,Pass
St Xavier School,3,21,Vivaan Bajaj,5,83,36,20,27,76,247,4.12,Pass
St Xavier School,3,11,Nikhil Chopra,49,25,7,95,68,42,286,4.77,Pass
St Xavier School,3,16,Nikhil Mehta,78,39,33,56,28,52,286,4.77,Pass
St Xavier School,3,27,Kiran Malhotra,55,91,46,29,32,33,286,4.77,Pass
St Xavier School,3,14,Divya Chopra,5,21,96,3,88,74,287,4.78,Pass
St Xavier School,3,2,Neha Gupta,35,25,97,77,7,62,303,5.05,Pass
St Xavier School,3,23,Ananya Malhotra,25,45,99,33,27,79,308,5.13,Pass
St Xavier School,3,3,Sanjay Mehta,47,23,62,53,74,61,320,5.33,Pass
St Xavier School,3,19,Ishita Malhotra,45,87,64,88,8,44,336,5.6,Pass
St Xavier School,3,30,Ishita Kapoor,93,83,79,74,10,3,342,5.7,Pass
St Xavier School,3,7,Ishita Mehta,15,53,61,60,68,86,343,5.72,Pass
St Xavier School,3,17,Vivaan Mehta,24,92,16,61,87,83,363,6.05,Pass
St Xavier School,3,22,Priya Mehta,55,81,42,97,54,50,379,6.32,Pass
St Xavier School,3,26,Ananya Malhotra,86,16,72,39,91,94,398,6.63,Pass
St Xavier School,3,28,Ananya Kapoor,32,85,77,87,85,32,398,6.63,Pass
St Xavier School,3,12,Sanya Verma,36,90,80,78,98,24,406,6.77,Pass
St Xavier School,3,1,Rahul Kapoor,2,91,67,92,96,59,407,6.78,Pass
St Xavier School,3,5,Sanya Yadav,97,74,96,25,20,99,411,6.85,Pass
St Xavier School,3,18,Tanya Mehta,85,63,93,48,84,91,464,7.73,Pass
St Xavier School,4,22,Neha Singh,18,37,30,11,42,25,163,2.72,Fail
St Xavier School,4,21,Rohan Mehta,1,31,20,49,86,2,189,3.15,Fail
St Xavier School,4,14,Priya Bajaj,8,65,8,62,43,15,201,3.35,Fail
